stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1114,1114,"Walkers at Flemish",,  43.357792, -79.776070,,,0,,1
1115,1115,"Walkers at Henshaw",,  43.357470, -79.776029,,,0,,1
1118,1118,"Warwick Dr at Warwick Crt",,  43.322696, -79.827754,,,0,,1
1119,1119,"1235 Fairview",,  43.330255, -79.818448,,,0,,1
112,112,"Prospect at Perry",,  43.344181, -79.796007,,,0,,1
1120,1120,"Prospect at Cumberland",,  43.351869, -79.786345,,,0,,1
1121,1121,"Sutton at Downey",,  43.391203, -79.766507,,,0,,1
113,113,"Guelph at Prospect",,  43.344725, -79.794254,,,0,,1
114,114,"Guelph at Prospect",,  43.344877, -79.794010,,,0,,1
115,115,"Prospect at Perry",,  43.344395, -79.795366,,,0,,1
116,116,"Brant at Mount Forest",,  43.345872, -79.827808,,,0,,1
117,117,"Prospect at Guelph",,  43.345621, -79.794080,,,0,,1
118,118,"New at Cumberland",,  43.345882, -79.776946,,,0,,1
119,119,"Prospect at Guelph",,  43.345719, -79.793506,,,0,,1
12,12,"Lakeshore at Smith",,  43.328487, -79.788003,,,0,,1
120,120,"New at Cumberland",,  43.345763, -79.777342,,,0,,1
123,123,"Brant at Mount Forest",,  43.346665, -79.829340,,,0,,1
124,124,"Brant at Bluefields",,  43.346721, -79.829039,,,0,,1
125,125,"Fairview at Guelph",,  43.346435, -79.798151,,,0,,1
127,127,"Mount Forest at Brant",,  43.347044, -79.827902,,,0,,1
128,128,"Fairview at Guelph",,  43.346729, -79.798275,,,0,,1
129,129,"Mount Forest at Mountainside",,  43.347141, -79.827467,,,0,,1
13,13,"Lakeshore at Stratheden",,  43.329062, -79.787063,,,0,,1
130,130,"Guelph at Fairview",,  43.346852, -79.797082,,,0,,1
132,132,"Guelph at Fairview",,  43.346905, -79.796632,,,0,,1
135,135,"Prospect at Regency",,  43.346906, -79.792210,,,0,,1
137,137,"Prospect at Regency",,  43.347386, -79.792012,,,0,,1
142,142,"Mount Forest at Tyrrell",,  43.348948, -79.825694,,,0,,1
144,144,"New at Guildwood",,  43.348693, -79.773891,,,0,,1
147,147,"New at Woodview",,  43.348795, -79.774043,,,0,,1
148,148,"Prospect at Dynes",,  43.349370, -79.789913,,,0,,1
149,149,"Brant at Ester",,  43.349637, -79.833497,,,0,,1
15,15,"New at Martha",,  43.329239, -79.795377,,,0,,1
150,150,"Prospect at Dynes",,  43.349023, -79.789989,,,0,,1
151,151,"Rexway Dr at Cumberland",,  43.349338, -79.782257,,,0,,1
152,152,"Rexway Dr at Cumberland",,  43.349262, -79.782143,,,0,,1
154,154,"Brant at Amherst Heights",,  43.350131, -79.833890,,,0,,1
155,155,"Guelph at Harvester",,  43.349910, -79.801342,,,0,,1
156,156,"Guelph at Harvester",,  43.349974, -79.800876,,,0,,1
159,159,"Cumberland at Woodward",,  43.350015, -79.783703,,,0,,1
16,16,"New at Holtby",,  43.329385, -79.794955,,,0,,1
162,162,"Harvester at Guelph",,  43.350538, -79.800914,,,0,,1
164,164,"Cumberland at Northgate",,  43.350682, -79.784360,,,0,,1
165,165,"Brant at Tyandaga Park",,  43.351363, -79.835624,,,0,,1
166,166,"Mount Forest at Royal",,  43.351269, -79.822533,,,0,,1
167,167,"Brant at Tyandaga Park",,  43.351649, -79.836403,,,0,,1
168,168,"Prospect at Centennial Trail",,  43.350712, -79.788107,,,0,,1
169,169,"Mount Forest at Royal",,  43.351561, -79.822357,,,0,,1
17,17,"Brant at Baldwin",,  43.329949, -79.804238,,,0,,1
170,170,"3027 Harvester",,  43.351380, -79.800168,,,0,,1
171,171,"New at Elwood",,  43.351070, -79.771311,,,0,,1
172,172,"New at Elwood",,  43.351184, -79.771449,,,0,,1
174,174,"Prospect at Centennial Trail",,  43.350688, -79.788465,,,0,,1
177,177,"3050 Harvester",,  43.352068, -79.798965,,,0,,1
178,178,"Rexway Dr at Woodview",,  43.351916, -79.779047,,,0,,1
179,179,"Brant at Faversham",,  43.352602, -79.837743,,,0,,1
