stop_id,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,preferred
9700,9700,HWY 7 / MARTIN GROVE,5601 Highway 7 HIGHWAY 7 & MARTIN GROVE RD,,43.775925,-79.608653,1,,0, ,,1,1
9701,9701,HWY 7 / KIPLING,5263 HIGHWAY 7 & KIPLING AV,,43.778488,-79.597505,1,,0, ,,1,1
9702,9702,HWY 7 / KIPLING,7765 HIGHWAY 7 & KIPLING AV,,43.778903,-79.597043,1,,0, ,,1,1
9703,9703,HWY 7 / ISLINGTON,7730 HIGHWAY 7 & ISLINGTON AV,,43.78047,-79.589548,1,,0, ,,1,1
9704,9704,HWY 7 / ISLINGTON,5020 HIGHWAY 7 & ISLINGTON AV,,43.780547,-79.590232,1,,0, ,,1,1
9705,9705,HWY 7 / PINE VALLEY,4499 HIGHWAY 7 & PINE VALLEY DR,,43.7842,-79.572199,1,,0, ,,1,2
9706,9706,HWY 7 / PINE VALLEY,4500-4600 HIGHWAY 7 & PINE VALLEY DR,,43.783988,-79.573933,1,,0, ,,1,2
9707,9707,HWY 7 / ANSLEY GROVE,200-210 HIGHWAY 7 & WHITMORE RD,,43.787695,-79.555273,1,,0, ,,1,2
9708,9708,HWY 7 / ANSLEY GROVE,3940 HIGHWAY 7 & ANSLEY GROVE RD,,43.78751,-79.556974,1,,0, ,,1,2
9709,9709,HWY 7 / WESTON,HIGHWAY 7 & WESTON RD,,43.789586,-79.546424,1,,0, ,,1,2
9710,9710,HWY 7 / WESTON,HIGHWAY 7 & WESTON RD,,43.78917,-79.548425,1,,0, ,,1,2
9718,9718,CENTRE / DUFFERIN,1465 CENTRE ST & DUFFERIN ST,,43.805848,-79.473646,1,,0, ,,1,2
9719,9719,CENTRE / DUFFERIN,1475 CENTRE ST & DUFFERIN ST,,43.805524,-79.475549,1,,0, ,,1,2
9721,9721,BATHURST / ATKINSON,8001 Bathurst St. BATHURST ST & ATKINSON AV,,43.81788,-79.451702,1,,0, ,,1,2
9722,9722,BATHURST / ATKINSON,8000 Bathurst St. BATHURST ST & ATKINSON AV,,43.816601,-79.451454,1,,0, ,,1,2
9723,9723,RICHMOND HILL CENTRE PLATFORM 4,8705-8735 Yonge St. PLATFORM 4,4,43.839979,-79.425631,1,,0,10,,1,1
9724,9724,HWY 7 / BAYVIEW,249 HIGHWAY 7 & BAYVIEW AV,,43.840071,-79.405542,1,,0, ,,1,2
9725,9725,HWY 7 / BAYVIEW,250 HIGHWAY 7 & BAYVIEW AV,,43.84019,-79.405394,1,,0, ,,1,2
9726,9726,HWY 7 / VALLEYMEDE,425 HIGHWAY 7 & TIMES AV,,43.842282,-79.391193,1,,0, ,,1,2
9727,9727,HWY 7 / VALLEYMEDE,420 HIGHWAY 7 & VALLEYMEDE DR,,43.84207,-79.392761,1,,0, ,,1,2
9728,9728,HWY 7 / WEST BEAVER CREEK,505 HIGHWAY 7 & COMMERCE VALLEY DR,,43.843494,-79.386044,1,,0, ,,1,2
9729,9729,HWY 7 / WEST BEAVER CREEK,HIGHWAY 7 & WEST BEAVER CREEK RD,,43.843223,-79.387352,1,,0, ,,1,2
9730,9730,HWY 7 / LESLIE,600 HIGHWAY 7 & LESLIE ST,,43.844456,-79.381701,1,,0, ,,1,2
9731,9731,HWY 7 / LESLIE,HIGHWAY 7 & LESLIE ST,,43.844221,-79.383281,1,,0, ,,1,2
9732,9732,HWY 7 / EAST BEAVER CREEK,675 HIGHWAY 7 & COMMERCE VALLEY DR,,43.845498,-79.377206,1,,0, ,,1,2
9733,9733,HWY 7 / EAST BEAVER CREEK,670 Highway 7 East HIGHWAY 7 & EAST BEAVER CREEK,,43.845323,-79.378708,1,,0, ,,1,2
9734,9734,HWY 7 / ALLSTATE,2831 HIGHWAY 7 & EAST VALHALLA DR,,43.848661,-79.363611,1,,0, ,,1,2
9735,9735,HWY 7 / ALLSTATE,2830 HIGHWAY 7 & ALLSTATE PKWY,,43.848623,-79.363986,1,,0, ,,1,2
9736,9736,HWY 7 / WOODBINE,3075 HIGHWAY 7 & WOODBINE AV,,43.849755,-79.35856,1,,0, ,,1,2
9737,9737,HWY 7 / WOODBINE,3070 HIGHWAY 7 & WOODBINE AV,,43.849739,-79.358978,1,,0, ,,1,2
9738,9738,HWY 7 / MONTGOMERY,3105-3175 HIGHWAY 7 & FAIRBURN DR,,43.851287,-79.35123,1,,0, ,,1,2
9739,9739,HWY 7 / MONTGOMERY,3200 HIGHWAY 7 & MONTGOMERY CRT,,43.851056,-79.352725,1,,0, ,,1,2
