fare_id,price,currency_type,payment_method,transfers,agency_id
90-100,24.25,CAD,1,,GO
100-90,24.25,CAD,1,,GO
89-100,24.00,CAD,1,,GO
100-89,24.00,CAD,1,,GO
88-100,27.00,CAD,1,,GO
100-88,27.00,CAD,1,,GO
86-100,25.25,CAD,1,,GO
100-86,25.25,CAD,1,,GO
85-100,7.00,CAD,1,,GO
100-85,7.00,CAD,1,,GO
84-100,21.00,CAD,1,,GO
100-84,21.00,CAD,1,,GO
83-100,19.00,CAD,1,,GO
100-83,19.00,CAD,1,,GO
82-100,16.50,CAD,1,,GO
100-82,16.50,CAD,1,,GO
81-100,15.50,CAD,1,,GO
100-81,15.50,CAD,1,,GO
80-100,13.75,CAD,1,,GO
100-80,13.75,CAD,1,,GO
79-100,18.35,CAD,1,,GO
100-79,18.35,CAD,1,,GO
78-100,23.25,CAD,1,,GO
100-78,23.25,CAD,1,,GO
77-100,22.00,CAD,1,,GO
100-77,22.00,CAD,1,,GO
76-100,26.25,CAD,1,,GO
100-76,26.25,CAD,1,,GO
75-100,25.75,CAD,1,,GO
100-75,25.75,CAD,1,,GO
74-100,25.00,CAD,1,,GO
100-74,25.00,CAD,1,,GO
73-100,24.00,CAD,1,,GO
100-73,24.00,CAD,1,,GO
72-100,23.75,CAD,1,,GO
100-72,23.75,CAD,1,,GO
71-100,23.25,CAD,1,,GO
100-71,23.25,CAD,1,,GO
70-100,23.00,CAD,1,,GO
100-70,23.00,CAD,1,,GO
69-100,30.00,CAD,1,,GO
100-69,30.00,CAD,1,,GO
68-100,29.50,CAD,1,,GO
100-68,29.50,CAD,1,,GO
67-100,28.75,CAD,1,,GO
100-67,28.75,CAD,1,,GO
66-100,28.25,CAD,1,,GO
100-66,28.25,CAD,1,,GO
65-100,27.00,CAD,1,,GO
100-65,27.00,CAD,1,,GO
64-100,26.00,CAD,1,,GO
100-64,26.00,CAD,1,,GO
63-100,25.25,CAD,1,,GO
100-63,25.25,CAD,1,,GO
62-100,24.25,CAD,1,,GO
100-62,24.25,CAD,1,,GO
61-100,23.50,CAD,1,,GO
100-61,23.50,CAD,1,,GO
60-100,22.00,CAD,1,,GO
100-60,22.00,CAD,1,,GO
59-100,17.70,CAD,1,,GO
100-59,17.70,CAD,1,,GO
58-100,25.00,CAD,1,,GO
100-58,25.00,CAD,1,,GO
56-100,24.00,CAD,1,,GO
100-56,24.00,CAD,1,,GO
51-100,27.00,CAD,1,,GO
100-51,27.00,CAD,1,,GO
50-100,22.25,CAD,1,,GO
100-50,22.25,CAD,1,,GO
47-100,24.50,CAD,1,,GO
