stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
00378,Princess / Portsmouth,44.24995,-76.53069,0
S00501,Kingston Centre,44.24215,-76.51677,0
02052,Bath / Westdale,44.24075,-76.51358,0
S00272,Princess / Barrie,44.2329,-76.49151,0
S00292,Brock / Barrie,44.23207,-76.49143,0
00366,Bath / Westdale,44.24099,-76.51358,0
S00504,Kingston Centre,44.24223,-76.51695,0
00383,Princess / Sir John A. Macdonald,44.2449,-76.51948,0
S00043,Princess / Parkway,44.25137,-76.53297,0
00398,Princess / John Counter,44.2574,-76.54225,0
S00400,Princess / Andersen,44.25822,-76.54973,0
00402,Princess / Augusta,44.25832,-76.55502,0
S00584,Princess / Centennial,44.25835,-76.55972,0
00816,940 Gardiners Rd.,44.2573,-76.56888,0
09231,Gardiners / Taylor-Kidd,44.25095,-76.56854,0
09046,Petsmart,44.24822,-76.56686,0
S00103,RioCan Centre,44.24499,-76.56555,0
00527,1600 Bath Rd.,44.23691,-76.56364,0
09029,Tanner / Bath,44.2377,-76.55932,0
09026,Arbour Heights,44.23938,-76.55941,0
09018,Tanner / Arbour,44.24111,-76.5595,0
09019,668 Tanner Dr.,44.24308,-76.55621,0
09020,Malabar / Dolshire,44.24229,-76.55319,0
09021,Malabar / Teal,44.2414,-76.55138,0
00518,Kingsdale / Owens,44.24154,-76.54758,0
00732,284 Kingsdale Av.,44.24162,-76.54514,0
00517,Kingsdale / Armstrong,44.2419,-76.54357,0
00513,Armstrong / Bath,44.23894,-76.54228,0
00511,Bath / Queen Mary,44.23866,-76.53544,0
S00506,Kingston Centre,44.24191,-76.5169,0
00510,Bath / Queen Mary,44.23877,-76.53689,0
00512,Armstrong / Bath,44.23884,-76.54208,0
00516,Armstrong / Kingsdale,44.24192,-76.54297,0
00731,Kingsdale / Owens,44.24172,-76.54454,0
00519,259 Kingsdale Av.,44.24162,-76.54769,0
09022,Malabar / Fernmoor,44.24151,-76.55133,0
09023,Malabar / Dolshire,44.24251,-76.55369,0
09024,Melrose / Tanner,44.24375,-76.55501,0
09025,Tanner / Farnham,44.24102,-76.55967,0
09027,Arbour Heights,44.23931,-76.55956,0
00528,1600 Bath Rd.,44.2372,-76.56387,0
S00101,RioCan Centre,44.24492,-76.5653,0
09045,Best Buy,44.24832,-76.56658,0
09232,Gardiners / Taylor-Kidd,44.25126,-76.56821,0
S09227,King's Crossing North,44.26492,-76.50275,0
00745,Division / First Canada,44.26419,-76.49859,0
02001,Division / Kirkpatrick,44.25317,-76.49678,0
S02028,Division / Guy,44.2435,-76.49529,0
00283,Division / York,44.23791,-76.49422,0
00353,Brock / Alfred,44.23296,-76.49763,0
00349,Brock / Victoria,44.23282,-76.5032,0
00345,Brock / Regent,44.23262,-76.50858,0
09217,325 Palace Rd.,44.23353,-76.5137,0
S09217,Bath / Kingston Centre,44.24066,-76.5175,0
09030,Frontenac Mall,44.23793,-76.54582,0
00734,Bath / Tanner,44.2371,-76.55985,0
00617,Gardiners / Arlington Park,44.24792,-76.56795,0
00616,Gardiners / Arlington Park,44.24883,-76.56839,0
S09209,Bath / Gardiners,44.237,-76.56652,0
00733,Bath / Tanner,44.23686,-76.5595,0
00806,Bath / Centennial,44.23754,-76.54741,0
S09210,Bath / Kingston Centre,44.2405,-76.51644,0
09211,324 Palace Rd.,44.23395,-76.5139,0
00346,Johnson / Willingdon,44.23124,-76.50772,0
00350,Johnson / Victoria,44.23142,-76.50222,0
S02036,Downtown,44.23114,-76.48536,0
00284,Division / York,44.23795,-76.49406,0
S00231,Division / Russell,44.24371,-76.49515,0
09229,Division / Kirkpatrick,44.25379,-76.49664,0
00832,First Canada / Weller,44.26305,-76.49703,0
09215,King's Crossing South,44.26371,-76.50026,0
S02080,Innovation / Highway 15,44.2722,-76.44609,0
00700,Rose Abbey / St. Martha,44.26638,-76.44734,0
00065,Rose Abbey / McCallum,44.26388,-76.44688,0
02012,Rose Abbey / Dalgleish,44.26155,-76.44962,0
S00139,Rideau Town Centre,44.25958,-76.45627,0
00134,Highway 15 / Medley,44.25291,-76.46075,0
00132,Highway 15 / Barrett,44.24933,-76.46111,0
02010,Highway 15 / Wellington,44.24126,-76.45923,0
S00127,Royal Military College,44.23647,-76.46707,0
00266,Slush Puppie Place,44.23333,-76.47889,0
S02039,Downtown,44.23138,-76.48441,0
S00426,Queen's / Kingston General Hospital,44.22427,-76.49475,0
S00126,Royal Military College,44.2369,-76.46556,0
00079,Highway 15 / Wellington,44.24026,-76.45848,0
09225,Highway 15 / Barrett,44.25047,-76.46063,0
09226,Highway 15 / Grenadier,44.25377,-76.46044,0
S09205,Rideau Town Centre,44.25949,-76.45612,0
09206,Rose Abbey / Dalgleish,44.26129,-76.4494,0
09221,Rose Abbey / McCallum,44.26374,-76.44681,0
09207,Rose Abbey / St. Martha,44.26597,-76.44637,0
Smspr1,Montreal Street Park & Ride,44.27897,-76.47257,0
00150,Guthrie / Joyce,44.27481,-76.47791,0
00145,242 Guthrie Dr.,44.27413,-76.4796,0
02013,118 Virginia St.,44.27135,-76.48445,0
00157,80 Virginia St.,44.2704,-76.48624,0
00154,Virginia / Sutherland,44.26844,-76.48764,0
00161,Sutherland / Guthrie,44.2685,-76.48488,0
00168,Sutherland / Conacher,44.26854,-76.48175,0
00181,Conacher / Wilson,44.26603,-76.48762,0
00207,235 Conacher Dr.,44.26577,-76.49119,0
02017,Conacher / Nicholas,44.26633,-76.49475,0
00210,Benson / Division,44.26649,-76.49734,0
00217,John Counter / Rigney,44.25953,-76.5036,0
S09074,Bus Terminal,44.25851,-76.50624,0
09076,Elliott / Douglas,44.25596,-76.50403,0
00073,Elliott / Rockford,44.25609,-76.50114,0
02021,Elliott / Division,44.25626,-76.49763,0
00235,Division / Barbara,44.25027,-76.49635,0
02026,Division / Railway,44.24759,-76.49589,0
00070,Division / Fraser,44.24533,-76.49554,0
00288,Division / Adelaide,44.24093,-76.49485,0
00286,Division / Pine,44.23903,-76.49444,0
00280,Division / Colborne,44.23475,-76.49348,0
00297,Bagot / Johnson,44.22983,-76.4855,0
00299,Bagot / Earl,44.2287,-76.48647,0
00301,Bagot / West,44.22711,-76.48787,0
00317,Stuart / Arch,44.2248,-76.49198,0
S00427,Queen's / Kingston General Hospital,44.22443,-76.49479,0
S02042,Union / Alfred,44.22786,-76.49714,0
00107,Union / Albert,44.2273,-76.50008,0
00437,Union / Victoria,44.22687,-76.50233,0
00440,Union / Willingdon,44.22547,-76.50693,0
00441,Union / Pembroke,44.22445,-76.51013,0
00461,Churchill / Cartwright,44.22245,-76.52377,0
S00451,Churchill / Francis,44.22257,-76.52163,0
00450,Mowat / Herbert,44.22517,-76.52042,0
00447,Mowat / Forsythe,44.22659,-76.52056,0
02056,Yonge / Johnson,44.23046,-76.5184,0
00488,Johnson / Mowat,44.23053,-76.52089,0
00486,Roden / Johnson,44.23062,-76.52245,0
00484,Roden / Silver,44.23195,-76.52259,0
00481,219 Norman Rogers Dr.,44.23373,-76.52276,0
00471,Norman Rogers / Mulcaster,44.23532,-76.52292,0
00479,Norman Rogers / Byron,44.2363,-76.52301,0
00477,Norman Rogers / Casterton,44.23771,-76.52314,0
00498,L.C.V.I.,44.23764,-76.52029,0
00474,Van Order / MacPherson,44.23563,-76.51799,0
00473,Van Order / Norman Rogers,44.23381,-76.51625,0
S00502,Kingston Centre,44.242,-76.5168,0
00472,Norman Rogers / Van Order,44.23381,-76.51593,0
00475,Van Order / MacPherson,44.2357,-76.51785,0
02059,L.C.V.I.,44.23772,-76.52017,0
00476,Norman Rogers / Casterton,44.23775,-76.52331,0
00478,306 Norman Rogers Dr.,44.23655,-76.52319,0
00480,Norman Rogers / Mulcaster,44.23529,-76.52308,0
00482,215 Norman Rogers Dr.,44.23347,-76.5229,0
00483,Roden / Silver,44.23198,-76.52275,0
00485,Roden / Johnson,44.23076,-76.52263,0
00487,Johnson / Mowat,44.2304,-76.52114,0
00489,394 Yonge St.,44.23026,-76.51854,0
00445,310 Yonge St.,44.22738,-76.51827,0
00448,Forsythe / Mowat,44.22693,-76.52053,0
00449,Mowat / Francis,44.22504,-76.52055,0
S00800,Churchill / Francis,44.22267,-76.52197,0
00452,Churchill / Cartwright,44.22252,-76.5243,0
00696,Union / Pembroke,44.22438,-76.50996,0
02043,Union / Hillcroft,44.22551,-76.50624,0
00436,Union / Beverley,44.22663,-76.50261,0
00433,Union / Albert,44.2272,-76.49989,0
00318,Stuart / George,44.22464,-76.49221,0
00302,Bagot / West,44.22683,-76.48793,0
00300,Bagot / Earl,44.22844,-76.48647,0
00279,Division / Colborne,44.23478,-76.49327,0
00285,Division / Pine,44.23916,-76.49428,0
00287,Division / Adelaide,44.24078,-76.49462,0
00232,Division / Fraser,44.24554,-76.49539,0
00233,Division / Railway,44.24784,-76.49575,0
00234,Division / Barbara,44.25018,-76.4961,0
00216,Elliott / Derby Gate,44.25637,-76.4986,0
00051,Elliott / Rockford,44.25622,-76.50141,0
00690,Elliott / Douglas,44.25612,-76.5038,0
S00052,Bus Terminal,44.25875,-76.50603,0
00218,John Counter / Rigney,44.25931,-76.50267,0
00746,Division / First Canada,44.26366,-76.49817,0
00209,Benson / Division,44.26636,-76.49699,0
00208,Conacher / Nicholas,44.2662,-76.49472,0
00206,230 Conacher Dr.,44.26564,-76.49133,0
00182,Conacher / Wilson,44.2659,-76.48787,0
00163,Conacher / Abbey Dale,44.26655,-76.48435,0
00169,Conacher / Sutherland,44.26828,-76.48156,0
00155,Virginia / Sutherland,44.26859,-76.48751,0
00156,Mgr. Remi-Gaulin School,44.27002,-76.48671,0
00159,Virginia / Guthrie,44.2712,-76.48351,0
00855,Seniors Centre,44.22465,-76.52181,0
00454,Seniors Centre,44.22447,-76.52193,0
00172,Montreal / Sutherland,44.26807,-76.47914,0
00179,1130 Montreal St.,44.26391,-76.47869,0
00188,Weller / Daly,44.26263,-76.48195,0
02016,Wilson / MacCauley,44.26388,-76.48668,0
00183,Compton / Wilson,44.26472,-76.48796,0
00205,71 Compton St.,44.26452,-76.49061,0
00201,Compton / Weller,44.26269,-76.49087,0
00203,Weller / Trillium,44.26177,-76.4931,0
S09056,First Canada / Weller,44.26258,-76.49711,0
02018,Weller / Worthington,44.26165,-76.49313,0
00202,Weller / Wiley,44.26186,-76.49003,0
02015,Montreal / Briceland,44.25944,-76.48201,0
02022,Montreal / John Counter,44.25616,-76.48317,0
02023,Montreal / Village,44.25465,-76.48349,0
00224,Montreal / Hickson,44.25268,-76.48522,0
S00225,Royal Canadian Legion,44.25127,-76.48568,0
02025,Montreal / Railway,44.24802,-76.48706,0
00054,Montreal / Joseph,44.24582,-76.48747,0
00250,Montreal / Stephen,44.24304,-76.48794,0
02029,362 Montreal St.,44.24126,-76.4877,0
00254,Montreal / Charles,44.2401,-76.48653,0
02030,Rideau / Raglan,44.23778,-76.48287,0
00262,Bagot / Bay,44.23593,-76.48394,0
00265,Artillery Park,44.23398,-76.4839,0
02031,Montreal / Ordnance,44.2346,-76.48495,0
00261,North / Rideau,44.23693,-76.48282,0
00259,Rideaucrest,44.23808,-76.48276,0
00257,Raglan / Montreal,44.23793,-76.48509,0
00253,Montreal / Charles,44.24033,-76.4865,0
00252,362 Montreal St.,44.24155,-76.48756,0
00251,Montreal / Stephen,44.24274,-76.48775,0
00230,Montreal / Joseph,44.24565,-76.48733,0
00229,Montreal / Rideau,44.24874,-76.48638,0
S00226,Belle Park,44.25124,-76.48543,0
00223,Montreal / Hickson,44.25276,-76.48494,0
00222,Montreal / Village,44.25479,-76.48322,0
00213,Montreal / John Counter,44.25713,-76.48281,0
00212,Montreal / Briceland,44.25959,-76.48168,0
00200,Compton / Weller,44.26286,-76.49073,0
00204,70 Compton St.,44.26443,-76.49029,0
00184,Compton / Wilson,44.26484,-76.48722,0
00189,Weller / Daly,44.26252,-76.48185,0
00057,1135 Montreal St.,44.26395,-76.47845,0
00148,Montreal / Sheppard,44.273,-76.47739,0
00837,John Counter / Indian,44.25878,-76.5262,0
00835,John Counter / Aberfoyle,44.25883,-76.52193,0
00833,1355 John Counter Bv.,44.25889,-76.51422,0
09044,John Counter / Lappan's,44.25914,-76.50893,0
S02007,Bus Terminal,44.26018,-76.50624,0
00843,Portsmouth / Johnson,44.22994,-76.52596,0
00845,Portsmouth / Miles,44.2347,-76.52722,0
00846,Portsmouth / Van Order,44.23783,-76.52823,0
00506,Portsmouth / Elmwood,44.24097,-76.529,0
00374,Portsmouth / Phillips,44.24291,-76.52913,0
00375,Portsmouth / Fairview,44.24435,-76.52922,0
00376,Portsmouth / Valleyview,44.24654,-76.52936,0
00377,Portsmouth / Howard,44.24849,-76.52949,0
00396,John Counter / Princess,44.25737,-76.54133,0
00755,Craftsman / Apprentice,44.24311,-76.45447,0
00080,Craftsman / Givenchy,44.24334,-76.4513,0
00058,Craftsman / Lance,44.24367,-76.44706,0
00059,Craftsman / Moro,44.24403,-76.44272,0
00089,Craftsman / Mercury,44.2423,-76.43909,0
S00029,Cambrai / Princess Mary,44.24059,-76.43969,0
