shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
UNPA,43.6441875,-79.38370516,2,48
UNPA,43.64408108,-79.38403744,3,77
UNPA,43.64396448,-79.3843121,4,103
UNPA,43.64384653,-79.38474615,5,140
UNPA,43.6436885,-79.38531385,6,189
UNPA,43.64313914,-79.38785832,7,403
UNPA,43.64250856,-79.39091143,8,660
UNPA,43.64194797,-79.39318919,9,854
UNPA,43.64151986,-79.39532759,10,1033
UNPA,43.64125234,-79.39717797,11,1185
UNPA,43.64087,-79.39884338,12,1326
UNPA,43.64069643,-79.39966282,13,1395
UNPA,43.64060675,-79.40030109,14,1447
UNPA,43.6402584,-79.40357616,15,1714
UNPA,43.64019872,-79.40488385,16,1820
UNPA,43.64011348,-79.40595282,17,1907
UNPA,43.64023222,-79.41113456,18,2325
UNPA,43.64049095,-79.41801086,19,2881
UNPA,43.6405782,-79.42037018,20,3071
UNPA,43.64066675,-79.42216688,21,3217
UNPA,43.64071872,-79.42294275,22,3279
UNPA,43.64106344,-79.42479511,23,3434
UNPA,43.64135049,-79.42594288,24,3532
UNPA,43.64164757,-79.42690951,25,3616
UNPA,43.64237989,-79.42849223,26,3768
UNPA,43.64273867,-79.42928291,27,3843
UNPA,43.64517977,-79.43413144,28,4319
UNPA,43.64709582,-79.43827546,29,4715
UNPA,43.64750295,-79.43912243,30,4797
UNPA,43.64778964,-79.43968443,31,4853
UNPA,43.64801325,-79.44010395,32,4895
UNPA,43.64831137,-79.44058677,33,4946
UNPA,43.64920565,-79.44183729,34,5087
UNPA,43.65018588,-79.44310365,35,5237
UNPA,43.65097688,-79.44390297,36,5346
UNPA,43.65315475,-79.44611311,37,5646
UNPA,43.65708532,-79.44998044,38,6183
UNPA,43.65778921,-79.45066476,39,6279
UNPA,43.66101929,-79.45379502,40,6718
UNPA,43.66597379,-79.45865919,41,7394
UNPA,43.66994052,-79.46257314,42,7936
UNPA,43.67300262,-79.4656579,43,8357
UNPA,43.67530879,-79.46786862,44,8669
UNPA,43.67684944,-79.46945654,45,8883
UNPA,43.67755589,-79.47026551,46,8985
UNPA,43.67816792,-79.47102419,47,9077
UNPA,43.67966347,-79.47298956,48,9306
UNPA,43.68062275,-79.47424892,49,9453
UNPA,43.68160289,-79.47582463,50,9621
UNPA,43.6826384,-79.4776688,51,9809
UNPA,43.68467436,-79.48167154,52,10203
UNPA,43.68808325,-79.48854086,53,10874
UNPA,43.69132099,-79.49510091,54,11514
UNPA,43.69570685,-79.50395283,55,12378
UNPA,43.69849677,-79.50957732,56,12927
UNPA,43.69932036,-79.51127463,57,13091
UNPA,43.70225745,-79.51719039,58,13669
UNPA,43.70420467,-79.52113772,59,14054
UNPA,43.70512458,-79.52323074,60,14251
UNPA,43.70586974,-79.5253557,61,14442
UNPA,43.70619106,-79.52661484,62,14549
UNPA,43.70658095,-79.52872305,63,14725
UNPA,43.70685615,-79.5309654,64,14908
UNPA,43.70692964,-79.53251431,65,15033
UNPA,43.70681197,-79.53798701,66,15474
UNPA,43.70640605,-79.56026062,67,17270
UNPA,43.70570023,-79.59239165,68,19861
UNPA,43.70531862,-79.61132347,69,21388
UNPA,43.7052862,-79.61304719,70,21527
UNPA,43.70526583,-79.61346491,71,21560
UNPA,43.7051337,-79.61380246,72,21591
UNPA,43.70497134,-79.61403917,73,21617
UNPA,43.70471807,-79.6142627,74,21651
UNPA,43.70442054,-79.61442109,75,21686
UNPA,43.70406627,-79.61448661,76,21726
UNPA,43.70368307,-79.61438821,77,21769
UNPA,43.70340278,-79.61421877,78,21803
UNPA,43.70272347,-79.61350761,79,21898
UNPA,43.70246622,-79.61319479,80,21936
UNPA,43.70185928,-79.61244933,81,22027
UNPA,43.70165661,-79.61218208,82,22058
UNPA,43.70142901,-79.61183993,83,22095
UNPA,43.70122517,-79.61150429,84,22130
UNPA,43.70110555,-79.61134129,85,22149
UNPA,43.70094488,-79.61116328,86,22172
UNPA,43.70080857,-79.61105871,87,22189
UNPA,43.70056013,-79.61092775,88,22219
UNPA,43.69993992,-79.61065101,89,22291
UNPA,43.69931292,-79.61040844,90,22364
UNPA,43.69833587,-79.61000515,91,22477
UNPA,43.69787863,-79.60990088,92,22528
UNPA,43.69758579,-79.60984505,93,22561
UNPA,43.6973072,-79.60989184,94,22593
UNPA,43.69702871,-79.60993862,95,22624
UNPA,43.69665172,-79.61009888,96,22668
UNPA,43.69625193,-79.61033162,97,22716
UNPA,43.69572979,-79.61079419,98,22785
UNPA,43.69507989,-79.61139192,99,22872
UNPA,43.6947043,-79.61172509,100,22921
UNPA,43.6944219,-79.61196788,101,22958
UNPA,43.69415232,-79.61215305,102,22992
UNPA,43.69382982,-79.6122984,103,23029
UNPA,43.6929566,-79.61246682,104,23127
UNPA,43.69251807,-79.61260964,105,23177
UNPA,43.69139166,-79.61293813,106,23305
UNPA,43.69073265,-79.61310593,107,23380
UNPA,43.68981936,-79.61337905,108,23484
UNPA,43.68930547,-79.61353336,109,23542
UNPA,43.68845819,-79.61377253,110,23638
UNPA,43.6879795,-79.61395413,111,23693
UNPA,43.68742193,-79.6142979,112,23761
UNPA,43.68685251,-79.61499853,113,23846
UNPA,43.68593236,-79.61553681,114,23957
UNPA,43.68543925,-79.61576975,115,24015
UNPA,43.68492336,-79.61570136,116,24072
UNPA,43.68450764,-79.61537819,117,24125
UNPA,43.68413737,-79.61494042,118,24180
UNPA,43.68293206,-79.6133587,119,24365
