route_id,service_id,trip_id,shape_id,trip_short_name,trip_headsign,direction_id,ticketing_trip_id
119-341,499,499,499,87,Sarnia,0,VIA87
119-618,495,495,495,72,Toronto,1,VIA72
119-618,496,496,496,76,Toronto,1,VIA76
119-618,497,497,497,78,Toronto,1,VIA78
119-618,490,490,490,75,Windsor,0,VIA75
119-618,492,492,492,70,Toronto,1,VIA70
617-628,541,541,541,26,Québec,0,VIA26
621-116,269,269,269,185,White River,0,VIA185
226-444,537,537,537,600,Montréal,1,VIA600
226-460,536,536,536,603,Senneterre,0,VIA603
226-444,535,535,535,601,Jonquière,0,VIA601
21-458,534,534,534,6,Jasper,1,VIA6
21-458,533,533,533,5,Prince Rupert,0,VIA5
119-93,371,371,371,83,London,0,VIA83
628-576,539,539,539,24,Québec,1,VIA24
226-444,538,538,538,602,Montréal,1,VIA602
621-116,270,270,270,186,Sudbury,1,VIA186
8-119,111,111,111,1,Vancouver,1,VIA1
226-460,396,396,396,604,Montréal,1,VIA604
8-119,112,112,112,2,Toronto,0,VIA2
149-435,278,278,278,690,The Pas,1,VIA690
149-435,279,279,279,691,Churchill,0,VIA691
388-435,525,525,525,693,Churchill,0,VIA693
388-435,526,526,526,692,Winnipeg,1,VIA692
617-119,520,520,520,645,Toronto,0,VIA645
226-119,449,449,449,60,Montréal,1,VIA60
617-119,443,443,443,59,Toronto,0,VIA59
628-576,442,442,442,39,Ottawa,0,VIA39
617-119,519,519,519,644,Ottawa,1,VIA644
119-93,518,518,518,82,Toronto,1,VIA82
617-226,511,511,511,633,Ottawa,1,VIA633
617-628,510,510,510,33,Ottawa,1,VIA33
617-628,513,513,513,35,Ottawa,1,VIA35
628-576,512,512,512,37,Ottawa,0,VIA37
119-618,517,517,517,79,Windsor,0,VIA79
617-119,516,516,516,52,Ottawa,1,VIA52
617-119,458,458,458,40,Ottawa,1,VIA40
617-119,459,459,459,42,Ottawa,1,VIA42
226-119,450,450,450,62,Montréal,1,VIA62
226-119,451,451,451,68,Montréal,1,VIA68
226-119,452,452,452,668,Montréal,1,VIA668
226-119,453,453,453,61,Toronto,0,VIA61
226-119,454,454,454,67,Toronto,0,VIA67
226-119,455,455,455,69,Toronto,0,VIA69
226-119,456,456,456,669,Toronto,0,VIA669
617-119,482,482,482,41,Toronto,0,VIA41
617-628,508,508,508,28,Québec,0,VIA28
226-620,504,504,504,14,Halifax,0,VIA14
226-620,505,505,505,15,Montréal,1,VIA15
119-120,502,502,502,97-64,Niagara Falls,0,VIA97-64
119-120,503,503,503,98-63,Toronto,1,VIA98-63
119-341,500,500,500,84,Toronto,1,VIA84
628-226,467,467,467,20,Québec,1,VIA20
628-226,466,466,466,29,Montréal,0,VIA29
617-119,461,461,461,643,Toronto,0,VIA643
617-119,460,460,460,646,Ottawa,1,VIA646
617-119,463,463,463,55,Toronto,0,VIA55
617-119,462,462,462,45,Toronto,0,VIA45
617-119,91,91,91,54,Ottawa,1,VIA54
617-119,93,93,93,53,Toronto,0,VIA53
617-628,95,95,95,26,Québec,0,VIA26
226-460,397,397,397,606,Montréal,1,VIA606
AC,554,554,554,,Dorval,1,
119-618,489,489,489,73,Windsor,0,VIA73
119-618,488,488,488,71,Windsor,0,VIA71
617-119,487,487,487,647,Toronto,0,VIA647
617-119,486,486,486,47,Toronto,0,VIA47
617-119,485,485,485,43,Toronto,0,VIA43
617-119,484,484,484,641,Toronto,0,VIA641
628-576,434,434,434,22,Québec,1,VIA22
617-119,481,481,481,48,Ottawa,1,VIA48
628-226,433,433,433,622,Québec,1,VIA622
226-119,472,472,472,63,Toronto,0,VIA63
226-119,473,473,473,65,Toronto,0,VIA65
617-226,470,470,470,38,Montréal,0,VIA38
226-119,476,476,476,66,Montréal,1,VIA66
617-119,477,477,477,50,Ottawa,1,VIA50
226-119,475,475,475,64,Montréal,1,VIA64
617-119,478,478,478,44,Ottawa,1,VIA44
617-119,479,479,479,46,Ottawa,1,VIA46
617-226,557,557,557,31,Ottawa,1,VIA31
628-576,556,556,556,637,Ottawa,0,VIA637
628-576,558,558,558,624,Québec,1,VIA624
226-444,559,559,,605,Jonquière,,VIA605
226-460,560,560,,607,Senneterre,,VIA607
