direction_name,shape_id,route_id,wheelchair_accessible,service_id,block_id,trip_headsign,trip_id,direction_id
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401018_Timetable_-_2026-06,Windfields Farm,887__401018_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401020_Timetable_-_2026-06,Windfields Farm,888__401020_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401036_Timetable_-_2026-06,Windfields Farm,889__401036_Timetable_-_2026-06,1
Northbound,100.0.1046829421_Timetable_-_2026-06,405,1,Weekday_merged_94434,a_403023_Timetable_-_2026-06,Delpark Homes Centre,88__403023_Timetable_-_2026-06,0
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401018_Timetable_-_2026-06,Windfields Farm,890__401018_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401023_Timetable_-_2026-06,Windfields Farm,891__401023_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401036_Timetable_-_2026-06,Windfields Farm,892__401036_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401018_Timetable_-_2026-06,Windfields Farm,893__401018_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401020_Timetable_-_2026-06,Windfields Farm,894__401020_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401036_Timetable_-_2026-06,Windfields Farm,895__401036_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401023_Timetable_-_2026-06,Windfields Farm,896__401023_Timetable_-_2026-06,1
Westbound,100.0.2162905172_Timetable_-_2026-06,419,1,Weekday_merged_94434,a_401020_Timetable_-_2026-06,Windfields Farm,897__401020_Timetable_-_2026-06,1
