stop_lon,stop_timezone,stop_name,stop_id,parent_station,wheelchair_boarding,zone_id,stop_code,location_type,stop_url,preferred,stop_lat,stop_desc
-78.83438599999998,,Harmony Southbound @ King,1148,,1,,1148,0,,1,43.904711,
-78.833634,,Harmony Southbound @ Palace,1149,,1,,1149,0,,2,43.90330500000001,
-78.969667,,Country Lane Northbound @ Gartshore,115,,1,,115,0,,2,43.898544,
-78.83266999999998,,Harmony Southbound @ Hoskin,1150,,1,,1150,0,,2,43.901176,
-78.831854,,Southbound @ 188 Harmony,1151,,1,,1151,0,,2,43.899357,
-78.830782,,Harmony Southbound @ Florell,1152,,1,,1152,0,,2,43.896955,
-78.830938,,Harmony Northbound @ Old Harmony,1153,,1,,1153,0,,2,43.89775,
-78.831838,,Harmony Northbound @ Hoskin,1154,,1,,1154,0,,2,43.899752,
-78.833706,,Harmony Northbound @ Palace,1155,,1,,1155,0,,2,43.90378813,
-78.835009,,King Westbound @ Harmony,1156,,1,,1156,0,,1,43.90424800000001,
-78.837534,,Bond Northbound @ Riverside,1157,,1,,1157,0,,2,43.90426723,
-78.844005,,Bond Westbound @ Claymore (West side stop),1159,,1,,1159,0,,1,43.904135,
-78.970374,,Country Lane Northbound @ Randolph,116,,1,,116,0,,2,43.900852,
-78.84988199999998,,Bond Westbound @ Patricia,1161,,1,,1161,0,,2,43.902664,
-78.855176,,Bond Westbound @ Ritson,1163,,1,,1163,0,,1,43.900548,
-78.86069,,Bond Westbound @ Mary,1164,,1,,1164,0,,2,43.899252,
-78.8638232,,Bond Westbound @ Simcoe,1165,,1,,1165,0,,1,43.89857640000001,
-78.86599339999998,,Bond Westbound @ Centre,1166,,1,,1166,0,,1,43.8980427,
-78.8700233,,Bond Westbound @ Arena,1167,,1,,1167,0,,2,43.8971812,
-78.87463099999998,,Bond Westbound @ Park,1169,,1,,1169,0,,1,43.896215,
-78.9716001,,Country Lane Northbound @ Twin Streams,117,,1,,117,0,,2,43.9031059,
-78.878156,,Bond Westbound @ Gibbons,1171,,1,,1171,0,,2,43.895268,
-78.884232,,Bond Westbound @ Stevenson,1172,,1,,1172,0,,1,43.89388328,
-78.888154,,King Westbound @ Waverly,1173,,1,,1173,0,,2,43.892156,
-78.894721,,King Westbound @ Thornton,1174,,1,,1174,0,,1,43.89066900000001,
-78.8920772,,King Eastbound @ Thornton,1175,,1,,1175,0,,1,43.8910876,
-78.88811099999998,,King Eastbound @ Waverly,1176,,1,,1176,0,,2,43.891958,
-78.88199,,King Eastbound @ Stevenson,1177,,1,,1177,0,,1,43.89334800000001,
-78.8787275,,King Eastbound @ Gibbons,1178,,1,,1178,0,,2,43.89406180000001,
-78.973335,,Country Lane Northbound @ Medland,118,,1,,118,0,,2,43.907044,
-78.872558,,King Eastbound @ Warren,1181,,1,,1181,0,,1,43.895479,
-78.868644,,King Eastbound @ Midtown,1183,,1,,1183,0,,2,43.896359,
-78.860061,,King Eastbound @ Mary,1185,,1,,1185,0,,2,43.898339,
-78.856595,,King Eastbound @ Drew,1186,,1,,1186,0,,2,43.899141,
-78.853177,,King Eastbound @ Rowe,1187,,1,,1187,0,,1,43.89992500000001,
-78.848573,,King Eastbound @ Central Park,1188,,1,,1188,0,,2,43.901002,
-78.9766051,,Country Lane Northbound @ Taunton,119,,1,,119,0,,2,43.9105664,
-78.843385,,King Eastbound @ Wilson,1190,,1,,1190,0,,1,43.902215,
-78.83979031,,King Eastbound @ Farewell,1192,,1,,1192,0,,2,43.90308117761166,
-78.837145,,King Eastbound @ Riverside,1193,,1,,1193,0,,2,43.90361,
-78.834637,,King Eastbound @ Harmony,1194,,1,,1194,0,,2,43.904153,
-78.82687,,King Eastbound @ Keewatin,1196,,1,,1196,0,,2,43.905856,
-78.820278,,King Eastbound @ Rockcliffe,1198,,1,,1198,0,,2,43.905817,
-78.81680498649324,,King Eastbound @ Eastlawn,1199,,1,,1199,0,,2,43.90618799574203,
-78.940766,,Northbound @ 3093 Garden,12,,1,,12,0,,2,43.901464,
-78.813775,,King Eastbound @ Townline,1200,,1,,1200,0,,1,43.906406,
-78.778936,,Courtice Southbound @ Moyse (Courtice Community Complex),1217,,1,,1217,0,,1,43.914105,
-78.779235,,Highway 2 Westbound @ Courtice,1218,,1,,1218,0,,1,43.911594,
-78.788115,,Highway 2 Westbound @ Trulls,1219,,1,,1219,0,,1,43.911048,
-78.79601,,Highway 2 Westbound @ Sandringham,1220,,1,,1220,0,,2,43.909174,
-78.797674,,Highway 2 Westbound @ Prestonvale,1221,,1,,1221,0,,1,43.908585,
-78.803571,,Highway 2 Westbound @ Centerfield,1222,,1,,1222,0,,1,43.90764200000001,
-78.807587,,Highway 2 Westbound @ Varcoe,1223,,1,,1223,0,,2,43.907163,
-78.808273,,Highway 2 Eastbound @ Darlington Boulevard,1224,,1,,1224,0,,2,43.906907,
-78.803827,,Highway 2 Eastbound @ Old Kingston,1225,,1,,1225,0,,1,43.907393,
-78.777544,,Courtice Southbound @ Highway 2,1226,,1,,1226,0,,2,43.910864,
-78.778369,,Sandringham Westbound @ Short,1227,,1,,1227,0,,2,43.909137,
-78.779807,,Avondale Southbound @ Stagemaster,1228,,1,,1228,0,,2,43.907937,
-78.780964,,Avondale Southbound @ Brownstone,1229,,1,,1229,0,,2,43.90579242,
-78.781861,,Avondale Southbound @ Farmington,1230,,1,,1230,0,,2,43.904046,
-78.784876,,Trulls Northbound @ Avondale,1231,,1,,1231,0,,2,43.903403,
-78.785437,,Northbound @ 2501 Trulls,1232,,1,,1232,0,,2,43.90456300000001,
-78.78781669999998,,Sandringham Westbound @ Bushford,1233,,1,,1233,0,,2,43.9059139,
-78.790682,,Sandringham Westbound @ Yorkville,1234,,1,,1234,0,,2,43.90300993000001,
-78.863176,,King Eastbound @ Simcoe,1242,,1,,1242,0,,1,43.89762300000001,
-78.797456,,Highway 2 Eastbound @ Prestonvale,1244,,1,,1244,0,,1,43.908429,
-78.787906,,Highway 2 Eastbound @ Trulls,1245,,1,,1245,0,,1,43.910829,
-78.96736199999998,,Taunton Eastbound @ Cochrane,125,,1,,125,0,,2,43.912852,
-78.821096,,Olive Westbound @ Viewmount,1252,,1,,1252,0,,2,43.896941,
-78.82724399999998,,Olive Westbound @ Florell,1255,,1,,1255,0,,2,43.89598841,
-78.83126799999998,,Olive Westbound @ Elmridge,1257,,1,,1257,0,,1,43.89510700000001,
-78.834343,,Olive Westbound @ Poplar,1258,,1,,1258,0,,2,43.894441,
-78.836928,,Olive Westbound @ Baldwin,1259,,1,,1259,0,,2,43.89386600000001,
-78.839031,,Olive Westbound @ Wilson,1260,,1,,1260,0,,2,43.893383,
-78.841487,,Olive Westbound @ Highland,1261,,1,,1261,0,,2,43.892828,
-78.842817,,Olive Westbound @ Lasalle,1262,,1,,1262,0,,2,43.892535,
-78.846057,,Olive Westbound @ Verdun,1263,,1,,1263,0,,2,43.891779,
-78.849481,,Olive Westbound @ Ritson,1264,,1,,1264,0,,2,43.890989,
-78.851768,,Olive Westbound @ Drew,1265,,1,,1265,0,,2,43.89046,
-78.855284,,Olive Westbound @ Court,1266,,1,,1266,0,,2,43.889641,
-78.966002,,Cochrane Southbound @ Medland,127,,1,,127,0,,2,43.909537,
-78.87118169999998,,Gibb Westbound @ Montrave,1276,,1,,1276,0,,2,43.8881292,
-78.874471,,Gibb Westbound @ Grenfell,1277,,1,,1277,0,,2,43.887291,
-78.87697,,Westbound @ 450 Gibb,1278,,1,,1278,0,,2,43.88680200000001,
-78.880912,,Gibb Westbound @ Stevenson (West side stop),1280,,1,,1280,0,,2,43.88595200000001,
-78.884574,,Gibb Westbound @ Waverly,1281,,1,,1281,0,,2,43.885118,
-78.887244,,Gibb Westbound @ Vancouver,1282,,1,,1282,0,,2,43.884493,
-78.88744699999998,,Gibb Eastbound @ Vancouver,1283,,1,,1283,0,,2,43.884355,
-78.884308,,Gibb Eastbound @ Waverly,1284,,1,,1284,0,,2,43.885076,
-78.88051299999998,,Gibb Eastbound @ Stevenson (West side stop),1285,,1,,1285,0,,2,43.885932,
-78.87870599999998,,Gibb Eastbound @ Stevenson (East side stop),1286,,1,,1286,0,,2,43.88625932,
-78.876312,,Eastbound @ 431 Gibb,1287,,1,,1287,0,,2,43.886764,
-78.874165,,Gibb Eastbound @ Grenfell,1288,,1,,1288,0,,2,43.887267,
-78.87204699999998,,Gibb Eastbound @ Montrave,1289,,1,,1289,0,,2,43.88775900000001,
-78.964539,,Cochrane Southbound @ Twin Streams,129,,1,,129,0,,2,43.905578,
-78.855367,,Olive Eastbound @ Court,1297,,1,,1297,0,,2,43.889552,
-78.852093,,Olive Eastbound @ Drew,1298,,1,,1298,0,,2,43.890302,
-78.848202,,Olive Eastbound @ Oshawa Boulevard,1299,,1,,1299,0,,2,43.891187,
-78.941556,,Garden Northbound @ Bassett (North stop),13,,1,,13,0,,2,43.903334,
-78.842598,,Olive Eastbound @ Lasalle,1300,,1,,1300,0,,2,43.89248,
-78.841125,,Olive Eastbound @ Highland,1301,,1,,1301,0,,2,43.892801,
-78.839043,,Olive Eastbound @ Windsor,1302,,1,,1302,0,,2,43.893281,
-78.836642,,Olive Eastbound @ Guelph,1303,,1,,1303,0,,2,43.89384600000001,
-78.834306,,Olive Eastbound @ Poplar,1304,,1,,1304,0,,2,43.894358,
-78.831355,,Olive Eastbound @ Elmridge,1305,,1,,1305,0,,1,43.89498,
-78.829032,,Olive Eastbound @ Harcourt,1306,,1,,1306,0,,1,43.895449,
