stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
23490,2988,Harper Rd opp Jersey Ave,,43.682262,-79.740598,,,0,,,1
23500,2989,Harper Rd at Bartley Bull Pky,,43.680609,-79.737705,,,0,,,1
23510,2990,Bartley Bull Pky opp Tullamore Rd,,43.682152,-79.735896,,,0,,,1
23520,2991,Bartley Bull Pky btwn Tullamore Rd & Roberts Cres,,43.681499,-79.73408,,,0,,,1
23530,2992,Bartley Bull Pky at Roberts Cres,,43.680049,-79.732463,,,0,,,1
23540,2993,Bartley Bull Pky at Watson Cres,,43.678839,-79.731113,,,0,,,1
23550,2994,Bartley Bull Pky at Caledon Cres,,43.677465,-79.728722,,,0,,,1
23560,2995,Bartley Bull Pky s/of Kilmanagh Crt,,43.675222,-79.726336,,,0,,,1
23570,2996,Bartley Bull Pky opp Orchard Dr,,43.674261,-79.726625,,,0,,,1
23580,2997,Bartley Bull Pky opp Caldwell Cres (W),,43.672379,-79.729075,,,0,,,1
23590,2998,Bartley Bull Pky at Erindale Cres,,43.671002,-79.730691,,,0,,,1
23600,2999,W Bartley Bull Pky at Bartley Bull Pky,,43.670525,-79.733391,,,0,,,1
23610,3000,Bartley Bull Pkwy at Main St S,,43.668885,-79.734048,,,0,,,0
23635,3002,Williams Pky e/of Murray St,,43.697633,-79.778835,,,0,,,0
23840,3004,Central Park Dr at Bramalea Rd,,43.729402,-79.724686,,,0,,,1
23880,3005,Central Park Dr at Hilldale Cres (E),,43.729,-79.725544,,,0,,,1
23890,3006,Central Park Dr at Hilldale Cres (W),,43.726173,-79.728052,,,0,,,1
23900,3007,Central Park Dr s/of Howden Blvd,,43.723767,-79.726294,,,0,,,1
23910,3008,Central Park Dr s/of Hanover Rd,,43.721034,-79.723103,,,0,,,1
24260,3012,Jordan Blvd at Jayfield Rd,,43.739942,-79.727017,,,0,,,1
24430,3020,S Jordan Blvd at Williams Pky,,43.738641,-79.725683,,,0,,,1
24830,3023,Vodden St E at Ken Whillans Dr,,43.694522,-79.767531,,,0,,,0
24840,3024,Vodden St w/of Centre St,,43.697552,-79.764311,,,0,,,1
24850,3025,Vodden St E at Post Rd,,43.698843,-79.762875,,,0,,,0
24855,3026,Vodden St E at Cumberland Dr,,43.701046,-79.760485,,,0,,,0
24860,3027,Vodden St w/of Kennedy Rd,,43.702217,-79.759065,,,0,,,0
24870,3028,Vodden St w/of Hansen Rd,,43.70388,-79.75729,,,0,,,1
24880,3029,Vodden St w/of Rutherford Rd,,43.706805,-79.754401,,,0,,,1
24890,3030,Vodden St E e/of Robwill Crt,,43.707836,-79.753264,,,0,,,1
24900,3031,Vodden St E w/of Archdekin Dr,,43.709843,-79.750947,,,0,,,1
24910,3032,Vodden St E at 399 Vodden St E,,43.711296,-79.749248,,,0,,,1
24920,3033,Vodden St E e/of Lansdowne Dr,,43.713036,-79.744585,,,0,,,1
24930,3034,Vodden St E at Laurelcrest St,,43.714253,-79.742371,,,0,,,1
24940,3035,Vodden St E at Howden Blvd,,43.716291,-79.741712,,,0,,,1
24980,3037,Howden Blvd e/of Hedgeson Crt (Howden Rec Centre),,43.722311,-79.730324,,,0,,,1
24990,3038,Howden Blvd w/of Heathcliffe Square,,43.7237,-79.728331,,,0,,,1
25030,3039,Central Park Dr at Gleneaden Crt,,43.73183,-79.721927,,,0,,,1
25050,3040,Central Park Dr opp Greenbriar Rec Centre,,43.735185,-79.715658,,,0,,,1
25060,3041,Central Park Dr at Torbram Rd,,43.738204,-79.713008,,,0,,,1
25080,3043,Corporation Dr at Bramkay St,,43.740272,-79.710355,,,0,,,1
25090,3044,Chrysler Dr n/of Corporation Dr,,43.743568,-79.707448,,,0,,,1
25095,3045,Chrysler Dr at 255 Chrysler Dr,,43.744977,-79.709366,,,0,,,1
25120,3046,Chrysler Dr at Williams Pky E,,43.748523,-79.714059,,,0,,,1
25130,3047,Williams Pkwy at 1995 Williams Pkwy,,43.751504,-79.710815,,,0,,,1
25140,3048,Williams Pky E at Airport Rd,,43.752681,-79.709362,,,0,,,1
25150,3049,Williams Pky E at Spar Dr,,43.754586,-79.707172,,,0,,,1
25160,3050,Williams Pky E at 2021 Williams Pky E,,43.756971,-79.704441,,,0,,,1
25170,3051,Williams Pky E w/of Sun Pac Blvd,,43.759083,-79.702008,,,0,,,1
25175,3052,Williams Pkwy at Sun Pac Blvd,,43.760359,-79.700553,,,0,,,1
25180,3053,Sun Pac Blvd at 10 Sun Pac Blvd.,,43.759311,-79.698226,,,0,,,0
25320,3064,Williams Pkwy at 2500 Williams Pkwy,,43.758759,-79.70281,,,0,,,1
25330,3065,Williams Pky E at 2150 Williams Pky E,,43.756398,-79.705506,,,0,,,1
25340,3066,Williams Pky E e/of Airport Rd,,43.754192,-79.708023,,,0,,,1
25350,3067,Williams Pky E opp 1995 Williams Pky E,,43.751707,-79.711014,,,0,,,1
25360,3068,Williams Pky E at Chrysler Dr,,43.749114,-79.7146,,,0,,,1
25370,3069,Chrysler Dr at Bramtree Crt,,43.746279,-79.711419,,,0,,,1
25375,3070,Chrysler Dr at 395 Chrysler Dr,,43.746401,-79.711255,,,0,,,1
25380,3071,Chrysler Dr at 250 Chrylser Dr,,43.744889,-79.709554,,,0,,,1
25390,3072,Chrysler Dr at Corporation Dr,,43.743194,-79.707352,,,0,,,1
25400,3073,Corporation Dr at Precidio Crt,,43.740771,-79.710003,,,0,,,1
25410,3074,Corporation Dr at Torbram Rd,,43.738836,-79.712568,,,0,,,1
25415,3075,Central Park Dr btwn Greenmount and Torbram Rd,,43.737565,-79.713994,,,0,,,1
25420,3076,Central Park Dr at Greenbriar Rec Centre,,43.735699,-79.715427,,,0,,,1
25440,3077,Central Park Dr btwn Grenoble Blvd & Glenforest Rd,,43.731759,-79.722345,,,0,,,1
25450,3078,Central Park Dr e/of Bramalea Rd,,43.730118,-79.724264,,,0,,,1
25480,3079,Howden Blvd at Hunt Club Dr,,43.724043,-79.727847,,,0,,,1
25490,3080,Howden Blvd at Horton Cres (W),,43.722493,-79.730485,,,0,,,1
25500,3081,Howden Blvd e/of Highview Trail,,43.720879,-79.731858,,,0,,,1
25530,3082,Vodden St E w/of Howden Blvd,,43.716312,-79.741922,,,0,,,1
25535,3083,Vodden St E at Leeward Dr,,43.714903,-79.742399,,,0,,,1
